Incident_ID,ORI,Incident_Date_Str,Incident_Time_Str,City,County,State,Zip_Code,Multiple_Locations,On_K12_Campus,Arrest_Made,Crime_Report_Filed,Contact_Reason,In_Custody_Reason,Num_Involved_Civilians,Num_Involved_Officers
URSUS-36-1000-2016-DJB,CA0361000,5/15/2016,1511,San Bernardino,San Bernardino County,CA,92407,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-36-1000-2016-KAD,CA0361000,7/22/2016,230,San Bernardino,San Bernardino County,CA,92405,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-1000-2016-KMX,CA0361000,7/16/2016,2115,San Bernardino,San Bernardino County,CA,92405,FALSE,FALSE,FALSE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-36-1000-2016-MAY,CA0361000,5/8/2016,2358,San Bernardino,San Bernardino County,CA,92404,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-1000-2016-PFP,CA0361000,2/29/2016,933,San Bernardino,San Bernardino County,CA,92411,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,2,1
URSUS-36-1000-2016-RPZ,CA0361000,9/10/2016,2345,San Bernardino,San Bernardino County,CA,92411,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-1000-2016-RSP,CA0361000,8/29/2016,1031,San Bernardino,San Bernardino County,CA,92411,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,1
URSUS-36-1000-2016-SGR,CA0361000,1/31/2016,209,San Bernardino,San Bernardino County,CA,92408,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-36-1000-2016-SZF,CA0361000,8/2/2016,1411,San Bernardino,San Bernardino County,CA,92401,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-1000-2016-TJQ,CA0361000,9/3/2016,1830,San Bernardino,San Bernardino County,CA,92411,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-1000-2016-VAM,CA0361000,9/12/2016,300,San Bernardino,San Bernardino County,CA,92411,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-1000-2016-WDN,CA0361000,9/12/2016,730,San Bernardino,San Bernardino County,CA,92404,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-1000-2016-WYC,CA0361000,5/22/2016,2350,San Bernardino,San Bernardino County,CA,92410,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-1000-2016-XDN,CA0361000,5/6/2016,1648,San Bernardino,San Bernardino County,CA,92407,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,1
URSUS-36-1000-2016-YKU,CA0361000,2/9/2016,2125,San Bernardino,San Bernardino County,CA,92405,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-1000-2016-YME,CA0361000,3/25/2016,1908,San Bernardino,San Bernardino County,CA,92404,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-36-1000-2016-YTG,CA0361000,3/24/2016,1642,Redlands,San Bernardino County,CA,92374,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,2
URSUS-36-1000-2016-ZGS,CA0361000,4/28/2016,2041,San Bernardino,San Bernardino County,CA,92411,FALSE,FALSE,TRUE,TRUE,Ambush - No warning,,1,3
URSUS-36-1000-2016-ZPG,CA0361000,5/21/2016,1910,San Bernardino,San Bernardino County,CA,92411,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-36-5000-2016-XNU,CA0365000,10/27/2016,1339,Fontana,San Bernardino County,CA,92336,FALSE,TRUE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,4
URSUS-36-5000-2016-ZPT,CA0365000,9/6/2016,1414,Fontana,San Bernardino County,CA,92335,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,3
URSUS-37-0000-2016-AJH,CA0370000,9/8/2016,2035,Del Mar,San Diego County,CA,92014,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-37-0000-2016-BNF,CA0370000,2/16/2016,415,Boulevard,San Diego County,CA,91905,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,4
URSUS-37-0000-2016-BWW,CA0370000,1/10/2016,306,Vista,San Diego County,CA,92081,FALSE,FALSE,TRUE,FALSE,In Custody Event,Awaiting Booking,1,1
